date,hour,depth,value,variable
2014-06-04,7,9.5,7.057073333333333,temperature
2014-06-18,7,0,26.50124,temperature
2014-06-18,7,0.5,26.494367647058823,temperature
2014-06-18,7,1,26.486445,temperature
2014-06-18,7,1.5,26.469913333333334,temperature
2014-06-18,7,10,7.272864285714286,temperature
2014-06-18,7,10.5,7.09774,temperature
2014-06-18,7,11,6.9976666666666665,temperature
2014-06-18,7,11.5,6.857441176470588,temperature
2014-06-18,7,2,26.430866666666667,temperature
2014-06-18,7,2.5,25.863286666666667,temperature
2014-06-18,7,3,24.475526666666667,temperature
2014-06-18,7,3.5,22.45394705882353,temperature
2014-06-18,7,4,18.528776470588234,temperature
2014-06-18,7,4.5,14.522033333333333,temperature
2014-06-18,7,5,12.9283875,temperature
2014-06-18,7,5.5,11.121370588235294,temperature
2014-06-18,7,6,10.136525,temperature
2014-06-18,7,6.5,9.418531250000001,temperature
2014-06-18,7,7,8.8638125,temperature
2014-06-18,7,7.5,8.432842857142857,temperature
2014-06-18,7,8,8.163764285714286,temperature
2014-06-18,7,8.5,7.89026,temperature
2014-06-18,7,9,7.6423250000000005,temperature
2014-06-18,7,9.5,7.480713333333333,temperature
2014-06-25,7,0,26.647066666666667,temperature
2014-06-25,7,0.5,26.547016216216218,temperature
2014-06-25,7,1,26.306988235294117,temperature
2014-06-25,7,1.5,26.24286875,temperature
2014-06-25,7,10,7.06648125,temperature
2014-06-25,7,10.5,6.992564285714286,temperature
2014-06-25,7,11,6.935025,temperature
2014-06-25,7,11.5,6.942091176470588,temperature
2014-06-25,7,12,6.8883,temperature
2014-06-25,7,2,26.169593333333335,temperature
2014-06-25,7,2.5,26.00148125,temperature
2014-06-25,7,3,24.2380875,temperature
2014-06-25,7,3.5,21.08296,temperature
2014-06-25,7,4,17.455626666666667,temperature
2014-06-25,7,4.5,13.955782352941176,temperature
2014-06-25,7,5,11.951592857142858,temperature
2014-06-25,7,5.5,10.810814285714285,temperature
2014-06-25,7,6,10.002741666666667,temperature
2014-06-25,7,6.5,9.361564285714286,temperature
2014-06-25,7,7,8.792346153846154,temperature
2014-06-25,7,7.5,8.348053333333333,temperature
2014-06-25,7,8,7.972221428571428,temperature
2014-06-25,7,8.5,7.661142857142857,temperature
2014-06-25,7,9,7.4016142857142855,temperature
2014-06-25,7,9.5,7.18898125,temperature
2014-07-02,7,0,27.550344444444445,temperature
2014-07-02,7,0.5,27.490452631578947,temperature
2014-07-02,7,1,27.345368421052633,temperature
2014-07-02,7,1.5,26.560933333333335,temperature
2014-07-02,7,10,7.095766666666667,temperature
2014-07-02,7,10.5,7.016913333333333,temperature
2014-07-02,7,11,6.909966666666667,temperature
2014-07-02,7,11.5,6.839672727272728,temperature
2014-07-02,7,2,25.94428125,temperature
2014-07-02,7,2.5,25.48084,temperature
2014-07-02,7,3,23.986542857142858,temperature
2014-07-02,7,3.5,19.3527,temperature
2014-07-02,7,4,16.403075,temperature
2014-07-02,7,4.5,14.28512,temperature
2014-07-02,7,5,12.605992857142857,temperature
2014-07-02,7,5.5,11.038123076923076,temperature
2014-07-02,7,6,9.853975,temperature
2014-07-02,7,6.5,9.142485714285714,temperature
2014-07-02,7,7,8.699657142857143,temperature
2014-07-02,7,7.5,8.336664285714285,temperature
2014-07-02,7,8,7.998914285714286,temperature
2014-07-02,7,8.5,7.658542857142857,temperature
2014-07-02,7,9,7.413714285714286,temperature
2014-07-02,7,9.5,7.211771428571429,temperature
2014-07-09,7,0.5,26.55695,temperature
2014-07-09,7,1,26.15506923076923,temperature
2014-07-09,7,1.5,26.01661818181818,temperature
2014-07-09,7,10,7.165838461538462,temperature
2014-07-09,7,10.5,7.043028571428572,temperature
2014-07-09,7,11,6.96360625,temperature
2014-07-09,7,11.5,6.90628125,temperature
2014-07-09,7,2,25.84686923076923,temperature
2014-07-09,7,2.5,25.067050000000002,temperature
2014-07-09,7,3,23.3287,temperature
2014-07-09,7,3.5,20.734392857142858,temperature
2014-07-09,7,4,17.50203846153846,temperature
2014-07-09,7,4.5,14.646,temperature
2014-07-09,7,5,12.584672727272727,temperature
2014-07-09,7,5.5,10.99366923076923,temperature
2014-07-09,7,6,9.917541666666667,temperature
2014-07-09,7,6.5,9.209658333333334,temperature
2014-07-09,7,7,8.671508333333334,temperature
2014-07-09,7,7.5,8.25503076923077,temperature
2014-07-09,7,8,7.880707692307692,temperature
2014-07-09,7,8.5,7.597784615384615,temperature
2014-07-09,7,9,7.408107142857142,temperature
2014-07-09,7,9.5,7.251185714285715,temperature
2014-07-16,7,0,25.7582,temperature
2014-07-16,7,0.5,25.764233333333333,temperature
2014-07-16,7,1,25.76930625,temperature
2014-07-16,7,1.5,25.774546153846153,temperature
2014-07-16,7,10,7.1719357142857145,temperature
2014-07-16,7,10.5,7.073646153846154,temperature
2014-07-16,7,11,7.0295296296296295,temperature
2014-07-16,7,2,25.771191666666667,temperature
2014-07-16,7,2.5,25.76166,temperature
2014-07-16,7,3,25.20956153846154,temperature
