"Backslope"|"30599985"|"12723516"
"Shoulder"|"30599983"|"12723542"
"Summit"|"30599983"|"12723543"
"Backslope"|"30599883"|"12723507"
"Shoulder"|"30599993"|"12723561"
"Summit"|"30599993"|"12723562"
"Shoulder"|"30599945"|"12723548"
"Summit"|"30599945"|"12723549"
"Shoulder"|"30599987"|"12723550"
"Summit"|"30599987"|"12723551"
"Shoulder"|"30599893"|"12723540"
"Summit"|"30599893"|"12723541"
"Backslope"|"30599895"|"12723517"
"Backslope"|"30599989"|"12723524"
