197|"456405"|"135967"|"27094730"
2246|"456404"|"135973"|"27094755"
2395|"456405"|"135973"|"27094756"
11551|"456404"|"135999"|"27094855"
11551|"456409"|"135999"|"27094858"
11551|"456410"|"135999"|"27094859"
|"456412"|"135999"|"27094860"
11551|"456413"|"135999"|"27094861"
11551|"456414"|"135999"|"27094862"
9654|"456406"|"135999"|"27094857"
9654|"456405"|"135999"|"27094856"
2246|"456414"|"135973"|"27094762"
2246|"456413"|"135973"|"27094761"
2246|"456410"|"135973"|"27094760"
2246|"456409"|"135973"|"27094759"
2246|"456408"|"135973"|"27094758"
2246|"456407"|"135973"|"27094757"
200|"456414"|"135967"|"27094737"
200|"456413"|"135967"|"27094736"
200|"456412"|"135967"|"27094735"
200|"456410"|"135967"|"27094734"
200|"456409"|"135967"|"27094733"
200|"456408"|"135967"|"27094732"
200|"456407"|"135967"|"27094731"
200|"456404"|"135967"|"27094729"
2856|"456414"|"135938"|"27094687"
2856|"456413"|"135938"|"27094686"
2856|"456412"|"135938"|"27094685"
2856|"456410"|"135938"|"27094684"
2856|"456409"|"135938"|"27094683"
2856|"456408"|"135938"|"27094682"
2856|"456407"|"135938"|"27094681"
2860|"456405"|"135938"|"27094680"
2856|"456404"|"135938"|"27094679"
2165|"456414"|"135937"|"27094678"
2165|"456413"|"135937"|"27094677"
2165|"456412"|"135937"|"27094676"
2165|"456410"|"135937"|"27094675"
2165|"456409"|"135937"|"27094674"
2165|"456408"|"135937"|"27094673"
2165|"456407"|"135937"|"27094672"
2193|"456405"|"135937"|"27094671"
2165|"456404"|"135937"|"27094670"
34954|"456414"|"135934"|"27094652"
34954|"456413"|"135934"|"27094651"
34954|"456412"|"135934"|"27094650"
34954|"456410"|"135934"|"27094649"
34954|"456409"|"135934"|"27094648"
34954|"456408"|"135934"|"27094647"
34954|"456407"|"135934"|"27094646"
34991|"456405"|"135934"|"27094645"
34954|"456404"|"135934"|"27094644"
29792|"456414"|"135924"|"27094593"
29792|"456413"|"135924"|"27094592"
29792|"456412"|"135924"|"27094591"
29792|"456410"|"135924"|"27094590"
29792|"456409"|"135924"|"27094589"
29792|"456408"|"135924"|"27094588"
29792|"456407"|"135924"|"27094587"
28916|"456405"|"135924"|"27094586"
29792|"456404"|"135924"|"27094585"
4429|"456414"|"135923"|"27094584"
4429|"456413"|"135923"|"27094583"
4429|"456412"|"135923"|"27094582"
4429|"456410"|"135923"|"27094581"
4429|"456409"|"135923"|"27094580"
4429|"456408"|"135923"|"27094579"
4429|"456407"|"135923"|"27094578"
4462|"456405"|"135923"|"27094577"
4429|"456404"|"135923"|"27094576"
2317|"456414"|"135922"|"27094575"
2317|"456413"|"135922"|"27094574"
2317|"456412"|"135922"|"27094573"
2317|"456410"|"135922"|"27094572"
2317|"456409"|"135922"|"27094571"
2317|"456408"|"135922"|"27094570"
2317|"456407"|"135922"|"27094569"
2391|"456405"|"135922"|"27094568"
2317|"456404"|"135922"|"27094567"
1802|"456414"|"135919"|"27094548"
1802|"456413"|"135919"|"27094547"
1802|"456412"|"135919"|"27094546"
1802|"456410"|"135919"|"27094545"
1802|"456409"|"135919"|"27094544"
1802|"456408"|"135919"|"27094543"
1802|"456407"|"135919"|"27094542"
1789|"456405"|"135919"|"27094541"
1802|"456404"|"135919"|"27094540"
